37989.8447916677	40	-19	1247	50	-83	830	1142	
37989.8447916687	16	-16	1376	50	-84	849	562	
37989.8447916697	6	-11	1763	-107	-76	252	3242	
37989.8447916707	25	27	1720	50	-169	869	909	
37989.8447916717	38	37	1978	50	-118	837	2676	
37989.8447916727	45	29	2365	-102	-99	838	2150	
37989.8447916737	52	28	2795	-104	-92	802	4434	
37989.8447916747	56	17	2924	-107	-77	687	4497	
37989.8447916757	59	11	3053	-107	-96	632	20523	
37989.8447916767	61	7	3225	-107	-109	342	19995	
37989.8447916777	62	4	3354	-108	-142	519	14737	
37989.8447916787	62	0	3483	-108	-195	185	18340	
37989.8447916797	62	1	3526	-108	-225	62	12065	
37989.8447916807	62	-4	3526	-108	-216	302	16171	
37989.8447916817	61	-5	3483	-109	-231	210	13842	
37989.8447916827	60	-7	3397	-109	-243	127	14126	
37989.8447916837	59	-10	3311	-109	-198	137	17990	
37989.8447916847	56	-13	3139	-109	-133	384	17716	
37989.8447916857	54	-16	3010	-109	-108	752	5652	
37989.8447916867	50	-20	2838	-110	-79	693	9574	
37989.8447916877	46	-28	2752	50	-83	782	4638	
37989.8447916887	40	-5	3354	-106	-155	262	1563	
37989.8447916897	38	-17	3483	-107	-152	781	2418	
37989.8447916907	33	-43	3870	50	-153	879	2504	
37989.8447916917	15	-23	3010	50	-64	707	911	
37989.8447916927	1	4	1720	-110	-54	285	1020	
37989.8447916937	21	27	2451	50	-108	776	802	
37989.8447916947	36	39	1333	50	-232	860	2718	
37989.8447916957	43	28	1290	-89	-206	627	2385	
37989.8447916967	44	-5	1247	-91	-151	602	5784	
37989.8447916977	44	-2	1376	-96	-71	786	2911	
37989.8447916987	47	24	2193	-102	-65	664	2134	
37989.8447916997	50	11	2580	-102	-86	770	2806	
37989.8447917007	51	3	2666	-102	-83	296	1586	
37989.8447917017	52	8	2709	-107	-79	320	2230	
37989.8447917027	53	1	2752	-107	-91	137	2609	
37989.8447917037	54	3	2881	-108	-111	534	7612	
37989.8447917047	54	1	3096	-109	-146	205	16268	
37989.8447917057	54	-3	3139	-109	-161	36	10293	
37989.8447917067	53	-8	3053	-109	-150	349	13946	
37989.8447917077	52	-8	2795	-108	-118	467	3095	
37989.8447917087	50	-9	2838	-108	-108	183	4126	
37989.8447917097	48	-10	2795	-104	-98	724	2860	
37989.8447917107	46	-11	2881	-109	-75	160	1209	
37989.8447917117	44	-10	3053	-102	-80	685	2796	
37989.8447917127	42	-2	3182	-110	-77	224	1474	
37989.8447917137	43	4	3440	50	-115	658	3521	
37989.8447917147	52	23	5074	-17	-220	861	2388	
37989.8447917157	65	43	4601	-17	-430	889	2037	
37989.8447917167	69	6	4429	-34	-479	367	1951	
37989.8447917177	70	4	4644	-68	-469	834	2733	
37989.8447917187	68	-25	4816	-17	-375	722	9633	
37989.8447917197	63	-27	3870	50	-250	758	4050	
37989.8447917207	60	23	4902	-85	-236	568	988	
37989.8447917217	60	-26	5160	-17	-202	738	6032	
37989.8447917227	56	-12	3612	-34	-194	624	3658	
37989.8447917237	56	18	3655	-68	-254	623	1178	
37989.8447917247	57	-7	3526	-63	-273	569	2859	
37989.8447917257	56	0	3526	-56	-272	389	2773	
37989.8447917267	58	13	3440	50	-282	351	1401	
37989.8447917277	58	-12	2967	-109	-280	188	2835	
37989.8447917287	56	-13	2752	-104	-255	712	2558	
37989.8447917297	53	-13	2623	-104	-221	806	2071	
37989.8447917307	50	-16	2451	-110	-197	213	1536	
37989.8447917317	48	4	2580	-106	-169	319	1390	
37989.8447917327	48	-9	2924	-106	-144	761	2735	
37989.8447917337	48	9	3698	-105	-108	648	2923	
37989.8447917347	53	24	5418	-56	-132	746	2232	
37989.8447917357	58	25	5504	8	-220	591	3043	
37989.8447917367	58	-22	5504	8	-220	611	2903	
37989.8447917377	54	-23	5375	50	-125	633	2416	
37989.8447917387	51	9	4515	-105	-89	131	1516	
37989.8447917397	54	15	3655	-77	-106	598	1498	
37989.8447917407	55	0	3397	-109	-103	80	1091	
37989.8447917417	54	-17	3225	-97	-92	783	1918	
37989.8447917427	53	11	2967	-95	-83	683	3122	
37989.8447917437	54	6	2494	-101	-132	725	4567	
37989.8447917447	54	-14	2408	-97	-157	466	1126	
37989.8447917457	51	-9	2580	-106	-135	376	5449	
37989.8447917467	50	0	2709	-106	-115	615	2840	
37989.8447917477	52	12	3311	-46	-106	339	1153	
37989.8447917487	53	3	1978	-89	-129	783	2295	
37989.8447917497	53	-5	1720	-102	-173	705	2464	
37989.8447917507	52	-3	1677	-56	-126	751	1894	
37989.8447917517	53	9	2451	-46	-107	832	3018	
37989.8447917527	55	13	2752	-101	-141	506	4441	
37989.8447917537	57	10	3139	-102	-181	814	4435	
37989.8447917547	58	-1	3182	-102	-215	420	6693	
37989.8447917557	58	-3	2967	-103	-249	638	11496	
37989.8447917567	57	-3	2623	-106	-293	438	4154	
37989.8447917577	55	-17	2537	-106	-314	624	6482	
37989.8447917587	52	-11	2580	-106	-311	688	4822	
37989.8447917597	50	-5	2537	-107	-310	458	2110	
37989.8447917607	48	-22	2537	-108	-283	771	2539	
37989.8447917617	44	-16	2881	-110	-255	497	2678	
37989.8447917627	40	-15	2838	-106	-224	220	1258	
37989.8447917637	36	-46	2752	-17	-244	883	3227	
37989.8447917647	14	-23	3354	-68	-56	749	1211	
37989.8447917657	2	-2	2838	8	-30	465	1950	
37989.8447917667	3	14	1376	-109	-65	443	1898	
37989.8447917677	4	-1	1720	-108	-52	393	1052	
37989.8447917687	4	-6	1892	-106	-40	309	1201	
37989.8447917697	3	-7	2322	-109	-38	494	1293	
37989.8447917707	2	6	2408	-108	-49	305	1685	
37989.8447917717	3	6	2064	-110	-56	416	1442	
37989.8447917727	17	27	2924	-102	-80	543	564	
37989.8447917737	41	36	2580	50	-75	867	1837	
37989.8447917747	50	34	2451	-34	-111	848	2537	
37989.8447917757	54	13	2709	-104	-109	623	3894	
37989.8447917767	57	12	2924	-104	-161	179	1581	
37989.8447917777	59	9	2967	-104	-281	92	1830	
37989.8447917787	60	4	2924	-104	-301	46	1695	
37989.8447917797	61	3	2924	-104	-314	9	1197	
37989.8447917807	61	3	2967	-103	-300	13	466	
37989.8447917817	62	3	3010	-104	-336	16	2004	
37989.8447917827	62	3	3053	-104	-389	6	3196	
37989.8447917837	63	1	3096	-104	-398	1	5846	
37989.8447917847	63	0	3096	-104	-370	4	5179	
37989.8447917857	63	1	3139	-104	-396	1	6626	
37989.8447917867	63	0	3139	-104	-377	8	7083	
37989.8447917877	64	0	3182	-104	-379	0	7676	
37989.8447917887	64	0	3182	-104	-378	1	8084	
37989.8447917897	64	2	3182	-104	-359	37	10509	
37989.8447917907	64	1	3182	-104	-392	3	8457	
37989.8447917917	64	0	3182	-104	-388	2	6231	
37989.8447917927	64	0	3182	-104	-421	3	7267	
37989.8447917937	64	0	3139	-104	-363	4	6422	
37989.8447917947	64	-1	3139	-104	-390	13	10709	
37989.8447917957	63	-2	3139	-104	-366	22	5837	
37989.8447917967	63	0	3010	-104	-379	22	5912	
37989.8447917977	63	0	2838	-104	-393	21	7894	
37989.8447917987	62	-7	2795	-104	-367	33	10776	
37989.8447917997	60	-17	2795	-104	-279	696	12942	
37989.8447918007	56	-23	2924	-104	-218	799	3739	
37989.8447918017	51	-26	3569	-106	-206	527	2441	
37989.8447918027	45	-30	3311	-109	-175	695	1995	
37989.8447918037	38	-20	3225	50	-164	514	2449	
37989.8447918047	33	-42	3440	50	-142	882	2244	
37989.8447918057	4	-18	2580	8	-33	808	4706	
37989.8447918067	2	-3	2967	8	-38	593	1470	
37989.8447918077	3	11	2580	-56	-30	698	1909	
37989.8447918087	30	34	2623	-34	-173	886	1239	
37989.8447918097	39	35	2021	-46	-141	870	2551	
37989.8447918107	49	32	2365	-101	-88	787	2909	
37989.8447918117	54	22	2881	-106	-65	679	5492	
37989.8447918127	56	3	2795	-106	-63	371	2682	
37989.8447918137	58	13	2924	50	-109	762	3959	
37989.8447918147	59	6	3053	-107	-202	159	7766	
37989.8447918157	60	1	3139	-107	-312	13	11639	
37989.8447918167	61	3	3182	-107	-321	29	9314	
37989.8447918177	61	4	3225	-107	-323	10	9053	
37989.8447918187	62	1	3182	-107	-327	5	12887	
37989.8447918197	62	0	3225	-107	-365	5	13890	
37989.8447918207	62	0	3225	-106	-344	20	11827	
37989.8447918217	63	2	3311	-107	-307	60	10669	
37989.8447918227	63	2	3268	-107	-270	185	4897	
37989.8447918237	63	-1	3182	-106	-255	130	2021	
37989.8447918247	63	-1	3182	-106	-268	228	4771	
37989.8447918257	63	-1	3182	-106	-290	59	8612	
37989.8447918267	63	1	3225	-107	-309	34	15964	
37989.8447918277	63	1	3225	-107	-364	6	12597	
37989.8447918287	63	0	3225	-107	-322	18	12614	
37989.8447918297	63	-3	3225	-107	-345	37	13500	
37989.8447918307	62	-6	3268	-107	-350	103	16114	
37989.8447918317	60	-14	3397	-107	-256	505	15257	
37989.8447918327	56	-29	3655	50	-175	729	4870	
37989.8447918337	50	-13	3612	-107	-105	469	2349	
37989.8447918347	47	-13	4128	-97	-64	695	3538	
37989.8447918357	51	23	5590	-17	-114	796	1789	
37989.8447918367	62	37	5160	8	-227	785	4201	
37989.8447918377	66	14	3698	50	-232	810	11565	
37989.8447918387	69	18	3870	-46	-321	803	3519	
37989.8447918397	71	7	3698	-80	-469	821	1594	
37989.8447918407	71	-9	3655	-34	-519	740	5511	
37989.8447918417	68	-31	3483	-46	-419	843	4933	
37989.8447918427	61	-28	3268	-46	-295	750	4020	
37989.8447918437	56	12	3526	-109	-211	222	1206	
37989.8447918447	56	-13	3440	-104	-188	710	2461	
37989.8447918457	56	4	2623	-63	-185	707	3049	
37989.8447918467	55	-15	2494	-46	-110	517	3035	
37989.8447918477	53	-3	2752	50	-53	758	3106	
37989.8447918487	52	-3	2795	-109	-51	191	1095	
37989.8447918497	51	-5	2752	-96	-33	670	3082	
37989.8447918507	51	3	2967	-110	-32	294	1064	
37989.8447918517	52	10	2623	-101	-57	713	2024	
37989.8447918527	52	-13	2752	-105	-64	230	955	
37989.8447918537	51	5	2881	-110	-50	264	787	
37989.8447918547	51	0	2795	-103	-46	450	896	
37989.8447918557	51	-5	2623	-105	-49	306	2841	
37989.8447918567	51	7	2623	-105	-55	202	2494	
37989.8447918577	51	-9	2623	-109	-58	407	1774	
37989.8447918587	50	-4	2795	-101	-79	438	2371	
37989.8447918597	50	5	3311	-103	-110	295	2168	
